Time,Velocity,Displacement
51.37,-0.004165960614836503,-0.06529492983733504
51.375,-0.003936781262899239,-0.06531461374364952
51.38,-0.0036746442110213505,-0.06533298696470463
51.385,-0.0033490501694612472,-0.06534973221555193
51.39,-0.0030230051164633273,-0.06536484724113426
51.395,-0.0027098337288032574,-0.06537839640977826
51.4,-0.0023967302144006085,-0.06539038006085027
51.405,-0.0021354978712990343,-0.06540105755020675
51.41,-0.001985575223472293,-0.06541098542632412
51.415,-0.0018021768558632897,-0.06541999631060343
51.42,-0.00183426776589171,-0.06542916764943289
51.425,-0.0017021379120184808,-0.06543767833899299
51.43,-0.0017050965195170764,-0.06544620382159057
51.435,-0.0018564002161836311,-0.06545548582267148
51.44,-0.001979328175311192,-0.06546538246354804
51.445,-0.001992858759079394,-0.06547534675734344
51.45,-0.0022898235558841983,-0.06548679587512286
51.455,-0.0023036329792347197,-0.06549831404001903
51.46,-0.002747754068577402,-0.06551205281036192
51.465,-0.00298152330786623,-0.06552696042690126
51.47,-0.0030190473652056777,-0.06554205566372728
51.475,-0.0032869531724619536,-0.06555849042958958
51.48,-0.003332268881277095,-0.06557515177399596
51.485,-0.0034323263285740905,-0.06559231340563884
51.49,-0.00298806110241897,-0.06560725371115093
51.495,-0.0032026487330431633,-0.06562326695481616
51.5,-0.002909911945339612,-0.06563781651454285
51.505,-0.0027756220337505364,-0.0656516946247116
51.51,-0.002582915324775551,-0.06566460920133549
51.515,-0.002239859668642968,-0.0656758084996787
51.52,-0.001990343454236141,-0.06568576021694988
51.525,-0.0017195752839055977,-0.0656943580933694
51.53,-0.0012141400813560712,-0.06570042879377619
51.535,-0.0009722205813888442,-0.06570528989668313
51.54,-0.0005835877535323473,-0.06570820783545078
51.545,-0.00042365192228104677,-0.0657103260950622
51.55,0.0002505969238214646,-0.06570907311044309
51.555,0.0004760887445766553,-0.0657066926667202
51.56,0.0007560615203929744,-0.06570291235911824
51.565,0.0012313104256104993,-0.06569675580699018
51.57,0.001427505404254245,-0.0656896182799689
51.575,0.0014591989117923134,-0.06568232228540995
51.58,0.001744001789391712,-0.06567360227646298
51.585,0.0016777082074117269,-0.06566521373542593
51.59,0.0015658672485729973,-0.06565738439918306
51.595,0.0015626316957117106,-0.0656495712407045
51.6,0.0015203121360652797,-0.06564196968002417
51.605,0.0009350309163871889,-0.06563729452544223
51.61,0.001025905540041966,-0.06563216499774202
51.615,0.0008772405528271324,-0.06562777879497789
51.62,0.0008764593845919519,-0.06562339649805493
51.625,0.0003911054277567454,-0.06562144097091614
51.63,6.28354577046187e-05,-0.06562112679362762
51.635,-7.494465814185836e-05,-0.06562150151691833
51.64,-8.346097029191653e-05,-0.06562191882176979
51.645,-0.00016252764322916946,-0.06562273145998594
51.65,-0.0002820017832660453,-0.06562414146890226
51.655,-0.0009198104630501315,-0.06562874052121752
51.66,-0.0004679144542959223,-0.065631080093489
51.665,-8.792828699058676e-05,-0.06563151973492395
51.67,-0.0009879622873342048,-0.06563645954636063
51.675,-0.00026030832033203575,-0.06563776108796229
51.68,-0.0007460925072480914,-0.06564149155049853
51.685,-0.0005697535699028901,-0.06564434031834804
51.69,-0.000762542168364815,-0.06564815302918986
51.695,-0.0009590318710273289,-0.065652948188545
51.7,-0.0012631722758367472,-0.06565926404992417
51.705,-0.0012646265026807703,-0.06566558718243758
